architecture,seed,metric,contrast
shared_workspace,7,concentration,-0.00012625741519378675
shared_workspace,8,gain,0.0003919347585157329
shared_workspace,8,broadcast,0.0014446667027999682
shared_workspace,8,persistence,-0.02248121607519482
shared_workspace,8,concentration,0.00030422897273751914
shared_workspace,9,gain,4.8386311644832425e-05
shared_workspace,9,broadcast,0.00010109198514307582
shared_workspace,9,persistence,-0.028289742719489253
shared_workspace,9,concentration,2.382173013826261e-05
shared_workspace,10,gain,-4.8209829839385154e-05
shared_workspace,10,broadcast,0.0001319188931219739
shared_workspace,10,persistence,-0.0001860035319618536
shared_workspace,10,concentration,-7.800732445151226e-05
shared_workspace,11,gain,-0.00498979673458938
shared_workspace,11,broadcast,0.017376821509117846
shared_workspace,11,persistence,0.182231357377712
shared_workspace,11,concentration,-0.005408302246487862
shared_workspace,13,gain,0.00024954821326383936
shared_workspace,13,broadcast,0.0004938029262373522
shared_workspace,13,persistence,-0.011762329619260159
shared_workspace,13,concentration,0.000156852580624256
shared_workspace,14,gain,-0.014306225295315056
shared_workspace,14,broadcast,0.013428432462367468
shared_workspace,14,persistence,0.09254318420649044
shared_workspace,14,concentration,-0.0026128999750290594
shared_workspace,15,gain,4.9534206872536846e-05
shared_workspace,15,broadcast,0.0016120116293406456
shared_workspace,15,persistence,-0.0008066076743853401
shared_workspace,15,concentration,-0.0004484406689075904
shared_workspace,16,gain,-8.59458657186396e-05
shared_workspace,16,broadcast,0.0004970814476968344
shared_workspace,16,persistence,-0.00450461190804341
shared_workspace,16,concentration,-0.0003241054695840573
shared_workspace,18,gain,0.00025889043409976775
shared_workspace,18,broadcast,0.0012289278131182302
shared_workspace,18,persistence,-0.010422499273737174
shared_workspace,18,concentration,0.0001416356512634609
shared_workspace,19,gain,6.36705508902935e-05
shared_workspace,19,broadcast,8.278103071335252e-05
shared_workspace,19,persistence,-0.000857686617090847
shared_workspace,19,concentration,-1.5138076819853907e-05
unlimited_shared_state,0,gain,0.0012125982563238602
unlimited_shared_state,0,broadcast,0.0035025555878247516
unlimited_shared_state,0,persistence,-0.03363294126650618
unlimited_shared_state,0,concentration,-0.0004275906085784431
unlimited_shared_state,1,gain,0.0001499975112728702
unlimited_shared_state,1,broadcast,0.006485900691143298
unlimited_shared_state,1,persistence,0.02030329515320073
unlimited_shared_state,1,concentration,-0.0024441845862755995
unlimited_shared_state,2,gain,0.0013017942001145588
unlimited_shared_state,2,broadcast,0.002569886342654315
unlimited_shared_state,2,persistence,-0.012261873735724738
unlimited_shared_state,2,concentration,0.00022606938334890359
unlimited_shared_state,3,gain,0.00031590002303172326
unlimited_shared_state,3,broadcast,0.011416665702574047
unlimited_shared_state,3,persistence,0.01549734280518722
unlimited_shared_state,3,concentration,-0.0014791768796962312
unlimited_shared_state,4,gain,0.0025421828132148327
unlimited_shared_state,4,broadcast,0.0022566922885759455
unlimited_shared_state,4,persistence,-0.06562370987456156
unlimited_shared_state,4,concentration,0.0006618206714020802
unlimited_shared_state,5,gain,0.0018531735613002143
unlimited_shared_state,5,broadcast,0.005336108013538787
unlimited_shared_state,5,persistence,-0.020840649836625147
unlimited_shared_state,5,concentration,-0.00010589428687968194
unlimited_shared_state,6,gain,0.0022539976954334406
unlimited_shared_state,6,broadcast,-0.0028950353299339593
unlimited_shared_state,6,persistence,-0.06701050529444985
unlimited_shared_state,6,concentration,0.0028200988095524737
unlimited_shared_state,7,gain,0.002742393057120096
unlimited_shared_state,7,broadcast,0.0002551814146457554
unlimited_shared_state,7,persistence,-0.1009739367733844
unlimited_shared_state,7,concentration,0.0017024701056629343
unlimited_shared_state,8,gain,-0.016628251272413963
unlimited_shared_state,8,broadcast,0.052108368446022235
unlimited_shared_state,8,persistence,0.12379240065051658
unlimited_shared_state,8,concentration,-0.02187073808337281
unlimited_shared_state,9,gain,0.002554710956194528
unlimited_shared_state,9,broadcast,0.011847474862352492
