architecture,seed,rms_distance,cosine_similarity,magnitude_ratio
recurrent,14,0.6866509967678388,0.13168017910960045,0.9239712994571195
recurrent,15,0.4178337600757409,-0.6752072992461288,0.2121034012725679
recurrent,17,0.6456713066069926,-0.16012800030146937,0.9724539458914032
recurrent,18,0.4370361117672454,0.2522532922446653,0.06588165227898539
recurrent,19,0.7452071201345325,0.09836895286754427,1.0708358720342883
shared_workspace,0,0.42891226474519234,-0.012639191158498504,0.06865801652613789
shared_workspace,1,0.43804831850176534,0.21448493927498807,0.06151833796245657
shared_workspace,2,0.4429497049354908,0.2638204282605508,0.11914797126133737
shared_workspace,5,0.42882509423356535,0.8613398667847932,0.03651577634273876
shared_workspace,6,0.43310755224087355,0.26049669532111425,0.005624707063142619
shared_workspace,7,0.4341318373878492,0.7564841731502079,0.02208975760046554
shared_workspace,8,0.4452446352338006,0.2674018294439559,0.13373294378059025
shared_workspace,9,0.4516544149807206,0.20638313237527472,0.16790011726754847
shared_workspace,10,0.4329441084377652,0.6162967180393383,0.0014587138977030368
shared_workspace,11,0.697215424534781,-0.1158343948876125,1.0873207733020123
shared_workspace,13,0.43783591864490157,0.24646257172597724,0.06989244539555738
shared_workspace,14,0.5270291476650865,-0.0771157941802405,0.5616644212491637
shared_workspace,15,0.43229152830718953,0.8992693745679411,0.011028108065950799
shared_workspace,16,0.4345173035106447,0.296188436735247,0.026970531371890868
shared_workspace,18,0.43678271979796124,0.3182248869044563,0.06231034378413906
shared_workspace,19,0.4329550148026405,0.29785169407104334,0.005128727010535286
unlimited_shared_state,0,0.453345679067824,0.30301724632795907,0.20083498227052082
unlimited_shared_state,1,0.4275097998420228,0.08697099176960786,0.12733063565261016
unlimited_shared_state,2,0.43503727164288925,0.4056004647205557,0.07476733171692657
unlimited_shared_state,3,0.4262797211760172,0.4011625905607225,0.11459188297930123
unlimited_shared_state,4,0.49616359323540254,0.24014481543035143,0.39001662916315327
unlimited_shared_state,5,0.4391507816577954,0.4413261792832655,0.12815303229802527
unlimited_shared_state,6,0.5015570553830534,0.16859506260682766,0.39865245511149655
unlimited_shared_state,7,0.5646129510702274,0.20942038204779181,0.5995852017249924
unlimited_shared_state,8,0.5868454788921947,0.15447970867706962,0.8136465250974528
unlimited_shared_state,9,0.4401966125511681,0.597615610569151,0.16661718048315244
unlimited_shared_state,10,0.4899621124595008,0.6067323901114621,0.5071650830478455
unlimited_shared_state,11,0.5035436941479916,-0.08109877989016949,0.5535137151124231
unlimited_shared_state,12,0.48253324463204067,0.12414335826149049,0.4618430685557877
unlimited_shared_state,13,0.44699959305675385,0.25673106216891545,0.16106496482944963
unlimited_shared_state,14,0.433552224673048,0.7928993451493043,0.09014465774915205
unlimited_shared_state,15,0.4333326274032263,0.5947656958698387,0.10296334529967262
unlimited_shared_state,16,0.47826318318378463,0.4130627460819975,0.4732529292974057
unlimited_shared_state,17,0.43947975470048584,0.3475585636803745,0.22355759479877108
unlimited_shared_state,18,0.49429965564259254,0.21153308279489558,0.389106189099587
unlimited_shared_state,19,0.452273573065348,0.28225202438756986,0.19500051694750684
