architecture,seed,top_subspace_accuracy_drop,random_drop_mean,random_drop_95_percentile,top_subspace_percentile,passes_intervention_criterion,test_presence_by_bin
shared_workspace,6,0.23585852399801674,0.08792373471938003,0.09115741194817967,1.0,True,test-presence-by-bin.parquet
shared_workspace,7,0.1421718136571086,0.04137901428789377,0.04321343624553742,1.0,True,test-presence-by-bin.parquet
shared_workspace,8,0.19720644120591135,0.06496434444817491,0.06767191752648581,1.0,True,test-presence-by-bin.parquet
shared_workspace,9,0.2553394631075021,0.056682504748764885,0.05929756403540651,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,0,0.15594005146727394,0.0009902086082738812,0.0013310009869523702,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,1,0.17453972904826887,0.0016191652293403311,0.0021069643882135995,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,10,0.1909129945233988,0.003614656805230406,0.004322338799318186,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,11,0.15582732194528792,0.005157219560001604,0.0058305098987615905,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,12,0.22189318752898196,0.004557264310102493,0.005261882987266151,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,13,0.1554408012487637,0.001772802761568429,0.002257248502188978,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,14,0.15737427918674846,0.0013700107187508772,0.0018160810676245644,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,15,0.1345521923833,0.0015294169541745903,0.0020146273005122953,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,16,0.16647323270956169,0.003939969587249878,0.004526946815058065,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,17,0.22184619564598743,0.004672221234812143,0.0054685837449357155,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,18,0.17102401553632351,0.0016917387669840565,0.0021569001312834765,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,19,0.13901486850013367,0.002048772619174311,0.0025285003379510993,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,2,0.1095737017000826,0.001743983721580749,0.0021944079345788438,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,3,0.2039720551274455,0.001576437015122118,0.002061907428141219,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,4,0.15294387374823085,0.002015781863428914,0.0024786690458322106,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,5,0.10635962977576942,0.0016036614918480286,0.0020263148096803657,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,6,0.13673111215567055,0.0017781470758846394,0.002310149995282816,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,7,0.15156932303699822,0.0030791877767148497,0.003715481868567177,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,8,0.1634749372165424,0.0027280943900251536,0.0035008620815916948,1.0,True,test-presence-by-bin.parquet
unlimited_shared_state,9,0.17007757870914836,0.0011502758649210578,0.0015484841772542594,1.0,True,test-presence-by-bin.parquet
